title,titleshort,imageURL,description,facet1,ASS,facet2,AMS,facet3,GIP,facet4
Civil Engineering Technology (CET),Civil_Engineering_Technology_CET,image/engineering.jpg,A program that prepares individuals to apply basic engineering principles and technical skills in support of civil engineers engaged in designing and executing public works projects such as highways. dams. bridges. tunnels and other facilities. Includes instruction in site analysis. structural testing procedures. field and laboratory testing procedures. plan and specification preparation. test equipment operation and maintenance. and report preparation.,Engineering,"$49,500","$40,000-$49,999","$80,500","$80,000-$89,999",62.63%,60%-79%
Computer Engineering (CE),Computer_Engineering_CE,image/engineering.jpg,A program that generally prepares individuals to apply mathematical and scientific principles to the design. development and operational evaluation of computer hardware and software systems and related equipment and facilities; and the analysis of specific problems of computer applications to various tasks.,Engineering,"$62,700","$60,000-$69,999","$105,000","$100,000-$109,999",67.46%,60%-79%
Electrical Engineering (EE),Electrical_Engineering_EE,image/engineering.jpg,A program that prepares individuals to apply basic engineering principles and technical skills in support of electrical. electronics and communication engineers. Includes instruction in electrical circuitry. prototype development and testing. systems analysis and testing. systems maintenance. instrument calibration. and report preparation.,Engineering,"$63,400","$60,000-$69,999","$106,000","$100,000-$109,999",67.19%,60%-79%
Electrical Engineering Technology (EET),Electrical_Engineering_Technology_EET,image/engineering.jpg,A program that prepares individuals to apply basic engineering principles and technical skills in support of electrical. electronics and communication engineers. Includes instruction in electrical circuitry. prototype development and testing. systems analysis and testing. systems maintenance. instrument calibration. and report preparation.,Engineering,"$58,400","$50,000-$59,999","$86,900","$80,000-$89,999",48.80%,40%-59%
Environmental Engineering,Environmental_Engineering,image/engineering.jpg, A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using indoor and outdoor environmental pollution control systems. Includes instruction in environmental safety principles. testing and sampling procedures. laboratory techniques. instrumentation calibration. safety and protection procedures. equipment maintenance. and report preparation.,Engineering,"$47,900","$40,000-$49,999","$89,700","$80,000-$89,999",87.27%,80%-99%
Environmental Science,Environmental_Science,image/engineering.jpg,A program that focuses on the application of biological. chemical. and physical principles to the study of the physical environment and the solution of environmental problems. including subjects such as abating or controlling environmental pollution and degradation; the interaction between human society and the natural environment; and natural resources management. Includes instruction in biology. chemistry. physics. geosciences. climatology. statistics. and mathematical modeling.,Engineering,"$39,800","$30,000-$39,999","$73,600","$70,000-$79,999",84.92%,80%-99%
Industrial Design (ID),Industrial_Design_ID,image/engineering.jpg,A program in the applied visual arts that prepares individuals to use artistic techniques to effectively communicate ideas and information to business and consumer audiences via the creation of effective forms. shapes. and packaging for manufactured products. Includes instruction in designing in a wide variety of plastic and digital media. prototype construction. design development and refinement. principles of cost saving. and product structure and performance criteria relevant to aesthetic design parameters.,Engineering,"$43,600","$40,000-$49,999","$80,300","$80,000-$89,999",84.17%,80%-99%
Industrial Engineering (IE),Industrial_Engineering_IE,image/engineering.jpg,A program that prepares individuals to apply scientific and mathematical principles to the design. improvement. and installation of integrated systems of people. material. information. and energy. Includes instruction in applied mathematics. physical sciences. the social sciences. engineering analysis. systems design. computer applications. and forecasting and evaluation methodology.,Engineering,"$59,900","$50,000-$59,999","$91,200","$90,000-$99,999",52.25%,40%-59%
Materials Science & Engineering,Materials_Science__Engineering,image/engineering.jpg,A program that prepares individuals to apply mathematical and materials science principles to the design. development and operational evaluation of materials and related processes used in manufacturing in a wide variety of settings; the synthesis of new industrial materials. including marrying and bonding composites; analysis of materials requirements and specifications; and related problems of system design dependent on materials factors.,Engineering,"$60,100","$60,000-$69,999","$91,900","$90,000-$99,999",52.91%,40%-59%
Mechanical Engineering (ME),Mechanical_Engineering_ME,image/engineering.jpg,A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in the design and development phases of a wide variety of projects involving mechanical systems. Includes instruction in principles of mechanics. applications to specific engineering systems. design testing procedures. prototype and operational testing and inspection procedures. manufacturing system-testing procedures. test equipment operation and maintenance. and report preparation.,Engineering,"$60,100","$60,000-$69,999","$98,400","$90,000-$99,999",63.73%,60%-79%
Mechanical Engineering Technology (MET),Mechanical_Engineering_Technology_MET,image/engineering.jpg, A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in the design and development phases of a wide variety of projects involving mechanical systems. Includes instruction in principles of mechanics. applications to specific engineering systems. design testing procedures. prototype and operational testing and inspection procedures. manufacturing system-testing procedures. test equipment operation and maintenance. and report preparation.,Engineering,"$52,900","$50,000-$59,999","$83,400","$80,000-$89,999",57.66%,40%-59%
Nuclear Engineering,Nuclear_Engineering,image/engineering.jpg,A program that prepares individuals to apply basic engineering. knowledge and technical skills in support of engineer and other professionals operating nuclear facilities and engaged in nuclear applications and safety procedures. Includes instruction in physics. nuclear science. nuclear systems. nuclear plant and systems design. radiological safety. radiological applications. and applicable law and regulations.,Engineering,"$66,800","$60,000-$69,999","$107,000","$100,000-$109,999",60.18%,60%-79%
